name,country,url
Binance,MLT,https://www.binance.com/?ref=35913882
CODEX,EST,http://codex.one/?utm_source=cryptocompare&utm_medium=overview
Ethfinex,VGB,https://www.ethfinex.com/
Bitfinex,VGB,https://www.bitfinex.com/
P2PB2B,EST,https://p2pb2b.io/register/2952f2a8-e2f5-44fc-b4a0-4d6ca07d7a28
IQFinex,CHE,https://www.iqfinex.com/
CoinsBit,EST,http://bit.ly/2OUXutd
Bitkub,THA,https://www.bitkub.com/
CoinPulse,PAN,https://www.coinpulse.io/ref/c107b090f21b5ba0a9502baa9304faec
Remitano,SYC,https://remitano.com/
BitBay,POL,https://auth.bitbay.net/ref/ccompare
CoinEx,Country not identified,https://www.coinex.com/
Tidex,GBR,https://tidex.com/
Bitlish,GBR,https://bitlish.com/
iCoinbay,Country not identified,http://bit.ly/2D3JFHB
GNEISS,VGB,https://gneiss.io/
CoinTiger,CHN,https://www.cointiger.com/?utm_source=cryptocompare
Hikenex,MYS,https://hikenex.com/
Bibox,EST,https://www.bibox.com/
N.exchange,GBR,https://n.exchange/?ref=R5JRM3CDYYR
